dataset,agent,repo,commit,smells_before,smells_after,delta,runtime_sec
Agentic,Claude_Code,core,12e2030d4bfde72e976d1cfa64cbfd1e2fbbc186,44,340,296,6.52
Agentic,Claude_Code,core,0f522dfadda82fcf96527a8c8ae1eb183334cfeb,126,126,0,4.21
Agentic,Claude_Code,core,b420c74c3b852bd22d940e640f56340040c369b7,89,91,2,4.15
Agentic,Claude_Code,core,2bbeab436f36992fdf58430f104076138ab571a7,2,2,0,5.18
Agentic,Claude_Code,core,b68f87285d73407ee76d4a7cca02455006248fca,211,211,0,4.77
Agentic,Claude_Code,core,ce3bed24d1567baab41dafcb4a415c1af06f657b,518,518,0,5.71
Agentic,Claude_Code,core,3f8c0b185e5b50ed3c7469f864bfed2e4f20f9bb,44,340,296,6.91
Agentic,Claude_Code,core,23507a1d9754fbb12c216240b6c5a220def570e8,211,211,0,4.79
Agentic,Claude_Code,core,6947d76291bbc4057625c367785fc2abf4945a79,518,518,0,5.75
Agentic,Claude_Code,core,2dc53b4c82247ea9a55c4cadfbfa1de20210c539,326,337,11,5.14
Agentic,Claude_Code,core,da0fa2ab38c66845ae6881885a03d23362e4b66d,87,87,0,4.62
Agentic,Claude_Code,core,f3373bc48b957c1d3119c254e1a5e6089a6c3b4e,214,215,1,4.77
Agentic,Claude_Code,core,976be40a7576dcb073c052b904165ae45ad58cd3,126,127,1,5.28
Agentic,Claude_Code,core,61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,216,215,-1,4.9
Agentic,Claude_Code,core,f7aff75a72e98ddbb61bfb01cdea073b81ffb5fb,122,119,-3,4.4
Agentic,Claude_Code,core,b55504d4867589044e018173932a5a2e8dc8021d,326,337,11,7.15
Agentic,Claude_Code,core,ac2a114e0120f5dfd831948809e897a8dc2c1d8a,87,87,0,4.61
Agentic,Claude_Code,pulsar,b42729750fd9ad761ee02d3a2ada40a6ad44bdbc,49,144,95,2.46
Agentic,Claude_Code,pulsar,975ff1f23d579ffc49fbc12a86def464254de4d9,52,52,0,2.32
Agentic,Claude_Code,core,bf0aee2f54630f26872951fd245849edbfe7cda6,214,215,1,4.8
Agentic,Copilot,halo,04ebc4d9c84695e51ae2a4ebaa9fbcd7602ccdb4,31,36,5,3.05
Agentic,Copilot,ApplicationInsights-Java,75d9db98d39172491a9c45ad3ff83ae080967b03,2,5,3,2.97
Agentic,Copilot,ApplicationInsights-Java,b1693948838fb2b47bc1d256fbcf77b7d82786cd,51,50,-1,2.72
Agentic,Copilot,ApplicationInsights-Java,2630d0bf1e515cce48198942dccca359a29f2f3f,15,15,0,3.04
