agent,full_name,refactoring_type,count
Claude_Code,apache/pulsar,Add Attribute Modifier,1
Claude_Code,apache/pulsar,Change Attribute Type,2
Claude_Code,apache/pulsar,Extract Method,2
Claude_Code,apache/pulsar,Extract Variable,1
Claude_Code,apache/pulsar,Remove Attribute Modifier,1
Claude_Code,apache/pulsar,Remove Method Modifier,1
Claude_Code,apache/pulsar,Rename Attribute,1
Claude_Code,dotCMS/core,Add Class Annotation,2281
Claude_Code,dotCMS/core,Add Method Annotation,25233
Claude_Code,dotCMS/core,Add Method Modifier,100
Claude_Code,dotCMS/core,Add Parameter,90
Claude_Code,dotCMS/core,Add Parameter Annotation,16755
Claude_Code,dotCMS/core,Add Parameter Modifier,2
Claude_Code,dotCMS/core,Add Variable Modifier,3
Claude_Code,dotCMS/core,Change Return Type,269
Claude_Code,dotCMS/core,Change Variable Type,377
Claude_Code,dotCMS/core,Extract Variable,25
Claude_Code,dotCMS/core,Inline Variable,5
Claude_Code,dotCMS/core,Modify Class Annotation,1375
Claude_Code,dotCMS/core,Modify Method Annotation,13343
Claude_Code,dotCMS/core,Modify Parameter Annotation,48
Claude_Code,dotCMS/core,Move Source Folder,1
Claude_Code,dotCMS/core,Remove Method Annotation,654
Claude_Code,dotCMS/core,Remove Parameter,11
Claude_Code,dotCMS/core,Remove Parameter Annotation,128
Claude_Code,dotCMS/core,Remove Thrown Exception Type,109
Claude_Code,dotCMS/core,Rename Method,37
Claude_Code,dotCMS/core,Rename Variable,9
Claude_Code,dotCMS/core,Reorder Parameter,50
Copilot,1c-syntax/bsl-language-server,Add Attribute Annotation,9
Copilot,1c-syntax/bsl-language-server,Add Attribute Modifier,2
Copilot,1c-syntax/bsl-language-server,Add Class Annotation,18
Copilot,1c-syntax/bsl-language-server,Add Method Annotation,4
Copilot,1c-syntax/bsl-language-server,Add Parameter,1
Copilot,1c-syntax/bsl-language-server,Add Thrown Exception Type,1
Copilot,1c-syntax/bsl-language-server,Change Method Access Modifier,1
Copilot,1c-syntax/bsl-language-server,Extract Class,2
Copilot,1c-syntax/bsl-language-server,Extract Method,1
Copilot,1c-syntax/bsl-language-server,Extract Variable,3
Copilot,1c-syntax/bsl-language-server,Inline Method,1
Copilot,1c-syntax/bsl-language-server,Move Attribute,7
Copilot,1c-syntax/bsl-language-server,Move Code,1
Copilot,1c-syntax/bsl-language-server,Move Method,14
Copilot,1c-syntax/bsl-language-server,Remove Attribute Annotation,4
Copilot,1c-syntax/bsl-language-server,Remove Attribute Modifier,1
Copilot,1c-syntax/bsl-language-server,Remove Class Annotation,15
Copilot,1c-syntax/bsl-language-server,Remove Method Annotation,2
Copilot,1c-syntax/bsl-language-server,Remove Parameter,1
Copilot,1c-syntax/bsl-language-server,Rename Variable,2
Copilot,1c-syntax/bsl-language-server,Replace Attribute With Variable,1
Copilot,Azure/azure-sdk-for-java,Add Attribute Annotation,33
Copilot,Azure/azure-sdk-for-java,Add Attribute Modifier,21
Copilot,Azure/azure-sdk-for-java,Add Class Annotation,41
Copilot,Azure/azure-sdk-for-java,Add Class Modifier,6
Copilot,Azure/azure-sdk-for-java,Add Method Annotation,530
Copilot,Azure/azure-sdk-for-java,Add Method Modifier,13
Copilot,Azure/azure-sdk-for-java,Add Parameter,178
Copilot,Azure/azure-sdk-for-java,Add Thrown Exception Type,32
Copilot,Azure/azure-sdk-for-java,Add Variable Modifier,2
Copilot,Azure/azure-sdk-for-java,Change Attribute Access Modifier,26
